Season,Game,Month,Days Rest,Age,Team,Home(0)/Away(1),Opp,Score Diff,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,10PT BCKT,GmSc,PlusMinus,Month Mappings,Month Mappings,Team Mappings,Team Mappings
2,35,4.00,2,20,1,1,25,13,1.72,9,20,0.45,0,1,0,9,14,0.64,1,7,8,5,5,0,3,2,27,2,22.1,11,,,,
2,36,4.00,1,20,1,1,23,-8,1.84,14,30,0.47,3,7,0.43,4,6,0.67,2,3,5,11,4,1,1,4,35,3,30.9,-7,,,,
2,37,4.00,3,20,1,1,3,6,1.82,11,16,0.69,1,1,1,4,6,0.67,1,10,11,10,4,0,2,4,27,2,30.5,0,,,,
2,38,4.00,1,20,1,1,1,-27,1.53,9,19,0.47,0,1,0,0,1,0,1,7,8,6,1,0,3,0,18,1,12.9,-24,,,,
2,39,4.00,2,20,1,1,24,18,1.8,13,24,0.54,0,1,0,2,2,1,1,11,12,10,1,1,3,1,28,2,25.7,19,,,,
2,40,4.00,2,20,1,0,6,-9,2,12,26,0.46,1,1,1,6,10,0.6,4,6,10,8,2,1,5,3,31,3,22.7,-9,,,,
2,41,4.00,2,20,1,0,16,3,1.74,10,16,0.63,4,6,0.67,3,4,0.75,1,8,9,15,3,2,5,1,27,2,32,7,,,,
2,42,4.00,2,20,1,1,7,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,43,4.00,4,20,1,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,44,5.00,6,20,1,1,20,-3,1.81,10,20,0.5,0,3,0,8,13,0.62,2,3,5,7,0,1,3,2,28,2,20.1,-3,,,,
2,45,5.00,2,20,1,1,8,-12,1.91,11,23,0.48,1,3,0.33,8,12,0.67,2,0,2,10,3,0,2,2,31,3,26.3,-8,,,,
2,46,5.00,2,20,1,0,20,9,1.9,9,21,0.43,0,3,0,12,13,0.92,0,6,6,9,2,0,1,2,30,3,26.8,10,,,,
2,47,5.00,3,20,1,0,17,13,1.51,6,14,0.43,0,3,0,3,4,0.75,1,7,8,11,3,0,2,1,15,1,18.3,15,,,,
2,48,5.00,3,20,1,0,4,-5,1.8,12,29,0.41,1,6,0.17,10,12,0.83,2,4,6,6,1,0,4,2,35,3,21.7,-13,,,,
2,49,5.00,2,20,1,0,22,14,1.9,8,20,0.4,0,0,0,9,10,0.9,2,6,8,9,3,1,3,3,25,2,22.8,9,,,,
2,50,5.00,3,20,1,0,13,22,1.54,11,20,0.55,2,2,1,4,5,0.8,0,5,5,6,3,0,3,0,28,2,23.7,27,,,,
2,51,5.00,1,20,1,1,12,-6,1.71,10,19,0.53,1,2,0.5,5,6,0.83,2,5,7,8,1,0,2,0,26,2,23.8,-1,,,,
2,52,5.00,6,20,1,0,19,9,1.85,8,17,0.47,1,1,1,10,15,0.67,1,5,6,11,5,0,3,2,27,2,27.4,7,,,,
2,53,5.00,2,20,1,1,5,-24,1.69,9,25,0.36,0,1,0,3,4,0.75,3,4,7,5,2,1,2,0,21,2,14.2,-11,,,,
2,54,5.00,2,20,1,1,21,-6,1.88,9,20,0.45,1,2,0.5,9,10,0.9,1,3,4,7,2,0,5,4,28,2,19.1,-10,,,,
2,55,5.00,1,20,1,0,28,-2,1.86,6,22,0.27,1,4,0.25,7,10,0.7,1,7,8,7,0,0,2,3,20,2,10.3,2,,,,
2,56,6.00,2,20,1,0,23,-17,1.7,11,20,0.55,5,7,0.71,5,8,0.63,0,5,5,5,0,0,4,2,32,3,21.4,-7,,,,
2,57,6.00,2,20,1,1,10,-9,1.66,12,21,0.57,0,1,0,10,12,0.83,1,6,7,7,4,0,6,1,34,3,28.3,-10,,,,
2,58,6.00,2,20,1,0,8,-20,1.68,9,19,0.47,0,1,0,5,7,0.71,0,4,4,5,2,0,1,1,23,2,17.8,-17,,,,
2,59,6.00,2,20,1,0,20,19,1.69,9,22,0.41,2,6,0.33,3,4,0.75,0,7,7,8,1,1,1,3,23,2,18,18,,,,
2,60,6.00,5,20,1,0,5,12,1.79,12,23,0.52,1,5,0.2,10,11,0.91,2,3,5,5,1,0,4,1,35,3,25.7,12,,,,
2,61,6.00,2,20,1,0,25,19,1.42,11,15,0.73,2,5,0.4,12,16,0.75,2,7,9,2,0,1,1,1,36,3,32.5,22,,,,
2,62,6.00,1,20,1,1,26,-8,1.88,13,26,0.5,4,9,0.44,4,7,0.57,1,6,7,6,1,0,5,0,34,3,22.5,-14,,,,
